Category,EU Average,EU - Max,EU - Min,Austria,Belgium,Bulgaria,Czech Republic,Germany,Denmark,Estonia,Greece,Spain,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Brazil,Canada,China,India,Japan,South Africa,South Korea,Turkey,USA,Switzerland,Norway
2008-1,72.16,114.22,51.24,63.23,72.44,,,62.22,52.47,,85.19,79.59,51.24,72.42,,,,97.74,,62.22,,114.22,72.46,,82.67,62.78,51.24,,,,227.44,31.58,111.04,,107.66,,97.12,,75.61,80.22,50.93
2008-2,70.45,110.44,44.13,65.44,69.79,,,66.08,50.45,,87.05,77.48,44.16,69.07,,,,92.31,,66.08,,110.44,69.74,,80.95,59.14,44.13,,,,92.55,40.43,112.73,,120.29,,97.92,,75.13,78.85,42.82
2008-3,64.62,84.13,35.41,59.88,71.65,,,59.26,40.26,,74.49,66.45,35.48,70.08,,,,84.13,,59.26,,83.5,68.77,,72.73,44.84,35.41,,,,55.93,43.25,112.73,,103.72,,100.87,,78.49,78.33,32.88
2008-4,72.1,114.52,35.41,74.1,84.55,,,74.96,40.26,,75.76,63.02,35.48,78.16,,,,90.71,,74.96,,114.52,82.04,,69.43,42.82,35.41,,,,29.93,38.2,112.73,,78.26,,101.49,,88.04,84.23,32.88
2008-5,65.9,146.81,42.63,63.53,75.99,,,62.48,59.33,,81.28,63.2,42.63,62.69,,,,90.02,,62.48,,146.81,72.94,,69.04,42.63,42.63,,,,14.79,27.12,112.73,,72.93,,98.88,,81.16,63.76,28.66
2008-6,79.19,131.09,54.79,82.82,82.59,,,81.37,75.54,,91.6,65.71,64.02,80.94,,,,93.63,,81.37,,131.09,83.7,,71.74,54.79,64.02,,,,34.38,46.3,112.73,154.4,81.8,,97.03,,98.73,82.64,44.95
2008-7,81.57,170.85,60.27,79.78,78.53,,,77.71,72.75,,111.7,76.86,65.63,78.07,,,,112.67,,77.71,,170.85,79.3,69.9,81.24,60.27,65.63,,,,49.2,46.3,111.04,167.31,93.07,,108.02,,105.69,79.39,49.37
2008-8,75.23,173.56,63.17,67.68,65.68,,,68.62,72.14,,102.39,78.93,72.39,65.18,,,,103.41,,68.62,,173.56,71.52,69.61,80.37,63.17,72.42,,,,46.46,37.16,111.04,163.4,96.46,,95.87,,77.42,67.79,60.33
2008-9,94.84,161.82,69.4,99.1,99.46,,,98.1,86.3,,100.09,82.19,81.51,98.26,,,,110.45,,98.1,,161.82,98.96,81.45,84.2,69.4,81.64,,,,49.82,38.87,116.09,165.36,81.99,,118.57,,63.2,99.62,74.96
2008-10,92.19,147.24,66.63,97.72,98.65,,,95.16,70.63,,97.07,79.15,67.1,101.93,,,,112.22,,95.16,,147.24,94.82,66.63,84.94,72.19,67.28,,,,41.91,35,119.46,182.19,77.77,,132.08,,53.32,107.53,62.78
2008-11,76.2,121.65,58.27,71.96,76.12,,,70.79,61.6,,98.51,75.69,58.27,77.02,,,,101.92,,70.79,,121.65,74.2,59.77,85.05,67.26,58.79,,,,46.76,39.83,119.46,161.39,76.35,,147.77,,53.91,86.39,56.96
2008-12,66.83,117.67,43.76,58.71,66.47,,,60.61,56.21,,91.39,65.09,49.28,68.51,,,,95.28,,60.61,,117.67,65.94,52.05,70.79,43.76,49.81,,,,44,35.89,119.46,135.21,61.32,,153.51,,55,83.39,49.46
2009-1,65.11,123.92,35.41,61.91,65.53,,,62.88,48.15,,69.13,56.36,45.22,69.59,,,,93.72,,62.88,,123.92,63.33,57.56,56.66,35.41,45.27,,,,34.13,41.69,119.71,110.99,60.05,,141.24,,51.51,86.95,45.59
2009-2,54.85,95.44,35.25,51.93,53.92,,,52.61,43.28,,58.64,45.99,42.2,54.29,,,,85.86,,52.61,,95.44,53.54,44.35,44.34,35.25,42.33,,,,18.29,36.97,121.4,129.21,55.13,,142.66,,41.21,79.19,42.06
2009-3,45.9,85.97,33,40.75,40.58,,,40.95,39.06,,52.69,42.82,38.53,41.07,,,,79.04,,40.95,,85.97,40.68,36,42.2,33,39.02,,,,30.8,23.28,121.4,162.16,49.3,,111.94,,35.77,66.04,38.71
2009-4,41.54,86.1,25.61,36.32,37.76,,,36.39,38.32,,41.22,41.5,37.93,38.05,,,,65.88,,36.39,,86.1,38.09,36.27,42.25,25.61,37.96,,,,14.72,14.91,121.4,216.84,44.86,,101.14,,30.87,37.32,37.47
2009-5,40.02,97.34,33.24,33.34,33.24,,,34.05,36.26,,44.04,41.29,36.39,33.89,,,,66.25,,34.05,,97.34,33.84,38.53,41.96,37.09,36.39,,,,13.17,22.14,121.4,126.56,48.91,,82.99,,34.22,33.42,35.93
2009-6,40.85,86.61,36.38,37.61,36.68,,,36.56,39.33,,41.46,41.12,38.83,37.4,,,,57.7,,36.56,,86.61,37.43,40.83,42.33,36.38,38.92,,,,14.25,18.87,121.4,130.46,47.79,,65.62,,31.71,37.44,38.87
2009-7,43.14,98.52,37.06,38.39,37.06,,,39.11,38.04,,43.94,38.71,37.46,39.73,,,,68.93,,39.11,,98.52,37.54,42.01,39.17,39.98,37.4,,,,11.84,15.29,118.02,93.04,45.06,,58.81,,36.52,38.53,36.28
2009-8,45.42,106.92,37.09,39.49,37.09,,,39.71,41.58,,43.02,38.89,41.03,39.51,,,,81.59,,39.71,,106.92,39.18,43.13,38.76,40.22,40.6,,,,6.9,21.61,118.02,145.37,46.2,,67.06,,36.97,40.22,35.68
2009-9,47.28,109.97,39.12,43.57,41.41,,,43.57,40.99,,44.85,40.41,39.19,44.21,,,,76.25,,43.57,,109.97,42.29,45.82,39.93,46.38,39.12,,,,6.9,16.81,118.02,82.01,43.66,,70.67,,34.81,44.71,31.5
2009-10,54.53,83.08,39.06,51.08,51.08,,51.22,49.07,45.52,,47.81,40.15,39.06,77.17,,,,64.91,,49.07,,83.08,50.35,46.53,39.87,50.48,39.06,,,,6.9,23.05,118.02,91.38,45.47,,74.02,,42.05,62.17,37.69
2009-11,44.54,91,31.12,40.26,42.16,,38.96,39.57,42.77,,42.92,37.15,40.39,44.55,,,,70.49,,39.57,,91,39.75,42.8,36.58,31.12,40.39,,,,6.9,21,118.02,63.14,50.62,,92.53,,36.7,55.31,40.05
2009-12,47.3,98.26,33.22,41.66,44.01,,40.79,39.29,49.07,,43.38,35.28,52.82,48.65,,,,75.28,,39.29,,98.26,41.86,43.67,33.22,41.5,52.98,,,,6.9,27.39,118.02,56.02,58.09,,103.44,,51.72,53.08,43.6
2010-1,52.09,106.88,30.3,45.67,51.25,,43.11,46.16,59.83,,41.46,31.78,71.94,56.6,,,58.71,69.4,,46.16,,106.88,47.57,51.93,30.3,40.11,71.94,,43.1,,5.03,28.32,113.58,58.85,59.56,,105.26,,51.21,59.18,58.38
2010-2,53.72,116.08,30.28,46.3,49.54,,44.76,45.63,75.11,,47.48,30.28,102.47,51.83,,,51.22,68.41,,45.63,,116.08,46.64,49.76,30.4,44.5,102.79,,44.76,,5.59,26.92,116.73,58.91,56.11,,103.49,,46.65,61.78,75.38
2010-3,46.99,85.58,21.47,42.71,43.31,,41.78,42.86,53.82,,45.21,21.47,60.37,48.88,,,51.12,68.7,,42.86,,85.58,42.71,48.91,21.99,42.1,64.57,,41.79,,10.93,21.3,119.89,104.86,52.06,,103.8,,39.94,63.6,62.36
2010-4,46.47,85.67,28.61,44.16,45.5,,43.2,43.79,44.95,39.14,59.76,29.99,47.81,45.57,,,50.88,67.05,,43.79,,85.67,45.15,49.59,28.61,38.29,48.36,,43.21,,8.68,23.44,119.89,144.01,56.62,,99.16,,37.77,51.32,51.25
2010-5,47.7,121.07,38.07,46.21,45.81,,45.07,45.03,44.29,38.07,49.62,40.78,43.16,46.36,,,58.15,64.92,,45.03,,121.07,46.08,51.38,40.62,41.36,43.36,47.55,45.07,,12.56,29.88,119.89,83.15,54.97,,99.32,,37.99,46.45,47
2010-6,49.08,106.52,34.1,47.18,46.53,,47.52,47.4,48.74,42.05,46.16,43.88,45.89,46.57,,,60.23,65.84,,47.4,,106.52,47.98,51.34,44.62,34.1,45.89,47.91,47.49,,26.73,30.77,118.31,62.52,63.42,,98.58,,40.02,47.39,48.95
2010-7,53.34,97.29,37.93,50.98,49.87,,50.42,50.12,51.38,52.38,51.87,46.93,53.32,50.04,,46.63,60.63,77.53,,50.12,,97.29,51.4,52.49,48.1,37.93,50.09,53.51,50.39,,36.5,40.16,116.73,62.98,63.29,,98.33,,52.51,50.68,49.68
2010-8,49.21,99.7,35.84,43.67,40.46,,43.4,43.52,49.53,61.92,59.25,46.96,47.26,40.55,,83.24,60.68,76.45,,43.52,,99.7,43.95,52.02,48.62,35.84,47.26,45.1,43.62,,46.84,34.61,116.73,61.28,69.35,,102.95,,47.9,43.81,46.91
2010-9,53.79,90.97,40.81,50.43,49.95,,50.24,50.15,55.27,55.37,49.85,50.79,56,49.97,,50.41,64.5,72.78,,50.15,,90.97,51.02,53.46,52.94,40.81,56,50.46,50.25,,62.65,25.37,116.73,42.68,74.75,,99.97,,40.05,51.66,53.99
2010-10,57.87,101.74,45.91,56.05,61.78,,54.06,55.02,55.53,54.09,55.59,46.62,56.04,62.92,,55.14,63.21,71.95,,55.02,,101.74,55,55.66,46.23,45.91,56.13,56.85,54.01,,72.2,22.33,116.73,48.54,53.87,,96.18,,35.27,64.25,54.31
2010-11,55.02,77.96,43.15,54.36,54.84,,52.72,53.07,58.19,55.05,48.57,44.77,61.93,55.05,,51.75,65.67,67.13,,53.07,,77.96,53.09,55.61,43.36,43.15,61.52,54.58,52.67,,45.35,24.04,116.73,36.28,60.4,,90.8,,37.25,61.34,59.91
2010-12,65.29,100.46,34.48,60.13,68.51,,56.85,60.75,83.19,57.71,44.29,50.68,99.89,68.65,,53.96,75.39,70.96,,60.75,,88.61,64.53,58.72,46.91,34.48,100.46,60.36,56.29,,27.65,25.74,116.73,42.97,61.6,,112.86,,45.42,68.21,89.29
2011-1,56.8,90.41,41.03,55.64,55.47,,51.75,54.24,57.32,46.69,58.7,41.03,73.8,55.29,,54.14,70.71,70.34,,54.24,,90.41,55.8,52.7,44.65,47.71,74.72,55.43,51.75,,10.22,23.64,109.47,57.09,71.45,,111.83,,44.09,61.94,74.54
2011-2,58.53,91.27,49.27,55.33,58.39,,54.08,55.03,56.26,51.61,61.09,49.27,69.88,58.01,,55.36,65.28,71.72,,55.03,,91.27,57.74,52.88,51.84,49.41,69.82,56.3,54.08,,17.21,24.14,110.93,65.33,71.3,,104.37,,38.67,66.27,69.75
2011-3,60.01,82.36,47.73,59.64,64.11,,57.5,58.94,59.68,51.75,56.4,47.73,65.9,58.58,,58.37,72.38,73.75,,58.94,,82.36,59.9,54.03,51.19,49.75,68.48,60.05,57.43,,8.33,22.64,110.93,57.01,82.26,,104.56,,34,65.69,69.49
2011-4,56.94,73.51,43.63,56.83,54.24,,56.69,55.81,57.25,43.63,54.57,49.18,57.91,54.23,,56.28,71.4,70.55,,55.81,,73.51,57.55,56.15,50.69,49.2,58.66,55.93,56.69,,4.39,21.28,110.93,58.97,90.2,,99.37,,37.28,57.95,58.92
2011-5,61.26,129,51.26,62.68,57.91,,61.24,61.49,59.2,51.26,56.87,52.91,58.88,57.91,,61.02,68.66,77.13,,61.49,,129,61.49,58.61,53.05,59.63,58.94,63.66,61.24,,6.23,18.55,110.93,49.17,89.24,,99.56,,38.17,62.78,58.96
2011-6,56.42,115.01,46.96,57.51,47,,56.71,56.59,56.4,51.35,64.46,54.1,52.53,46.96,,57.09,64.9,74.02,,56.59,,115.01,57.43,56.87,54.79,53.34,52.54,58,56.71,,11.44,24.79,110.93,46.79,83.79,,101.3,,41.6,57.52,52.37
2011-7,52.16,106.06,40.44,50.65,40.59,,50.51,50.2,46.23,46.47,64.55,54.98,45.66,40.44,,58.59,62.23,75.44,,50.2,,106.06,50.57,52.03,55.35,55.39,43.05,56.85,50.57,,8.28,26.58,109.47,49.95,94.91,,101.01,,49.42,50.4,41.96
2011-8,54.89,104.13,44.39,52.61,44.39,,53.09,52.56,50.97,51.5,56.22,57.92,53,44.4,,59.41,63.74,80.65,,52.56,,104.13,52.68,49.68,58,54.81,45.58,57.27,53.65,,6.73,24.71,109.47,49.95,106.99,,98.98,,40.32,52.99,43.43
2011-9,59.76,112.36,34.74,58.16,54.09,,56.32,56.96,52.01,44.21,66.84,63.27,42.05,54.09,,70.56,68.44,87.97,,56.96,,112.36,56.99,51.31,63.37,64.09,34.74,73.41,56.32,,7.25,22.85,109.47,51.87,93.33,,112.85,,38.03,57.62,31.31
2011-10,59.03,114.86,33,56.42,56.55,,55.35,55.92,48.54,44.91,67.67,62.15,39.94,56.54,,60,66.32,85.08,,55.92,,114.86,56.16,51.74,64.06,60.57,33,61.81,55.46,,13.36,21.06,109.47,90.82,115.31,,104.59,,34.95,60.13,30.25
2011-11,61.76,93.14,44.49,60.3,59.96,,59.26,59.9,51.64,44.49,79.4,52.35,45.48,60.01,,71.83,68.06,84.91,,59.9,,93.14,60.33,57.82,53.13,67.87,47.09,75.3,62.19,,16.4,20.63,109.47,69.21,110.11,,118.87,,34.38,72.72,44.55
2011-12,53.47,95.62,35.28,48.54,48.8,,44.34,46.42,37.1,35.28,83.92,54.17,36.07,48.8,,61.99,66.48,85.88,,46.42,,95.62,49.37,43.56,54.81,64.65,35.95,68.6,45.04,,14.73,18.48,109.47,69.72,117.36,,123.95,48.53,33.71,64.06,36.5
2012-1,51.5,106.38,39.88,44.2,44.76,,43.35,42.62,39.88,42.49,77.01,54.55,41.47,44.75,,59.89,65.33,85.31,,42.62,,106.38,46.46,43.05,55.5,59,40.81,62.59,44.68,,6.01,18.12,108.4,53.58,131.54,,123.71,44.72,29.68,56.12,39.72
2012-2,69.8,101.78,51.79,58.2,69.54,,59.68,58.68,54.37,51.79,83.8,57.13,56.42,88.09,,81.04,72.91,95.13,,58.68,,101.78,61.01,54.73,59.04,74.65,54.28,91.65,60.24,,10.55,15.78,109.83,56.33,154.2,,133.79,55.67,27.13,89.64,52.42
2012-3,50.24,97.86,30.99,44.6,48.26,,41.8,43.94,33.92,41.89,67.94,50.75,38.99,47.68,,51.65,67.55,80.35,,43.94,,97.86,47.75,43.01,52.42,51.06,30.99,54.64,41.81,,39.04,10.97,111.25,50.55,114.54,,148.51,36.76,24.16,57.56,31.19
2012-4,49.69,88.67,33.67,45.35,48.01,,43.86,46.54,37.8,39.2,48.41,44.03,38.97,47.99,,54.93,70.68,77.69,,46.54,,88.67,49.42,43,46.99,46.58,33.67,55.27,43.86,,62.86,12.17,111.25,48.35,121.91,,132.38,33.95,24.48,50.61,33.88
2012-5,46.56,99.87,32.05,41.48,41.65,,41.07,41.51,38.68,38.62,47.4,46.56,35.62,42.29,,44.76,71.11,74.74,,41.51,,99.87,47.96,43.36,47.56,43.15,32.05,49.69,41.13,,60.26,14.23,111.25,53.07,124.65,,143.34,42.58,27.08,40.82,30.45
2012-6,48.85,98.33,29,41.66,43.26,,41.33,41.46,39.64,32.91,62.93,57.15,29.25,43.1,,45.71,62.94,83.2,,41.46,,98.33,47.32,42.63,57.19,43.92,29,46.22,41.52,,39.54,15.5,111.25,65.06,115.5,,149.04,43.49,31.42,42,26.76
2012-7,49.45,111.9,14.27,43.33,44.6,,43.42,43.82,28.81,38.3,72.45,53.73,14.61,44.6,,60.96,67.52,87.82,48.95,43.82,,111.9,47.7,44.58,53.8,53.91,14.27,60.95,43.82,,30.43,23.85,111.25,67.57,92.09,,154.88,50.81,38.95,43.13,14.64
2012-8,54.09,122.87,28.9,48.36,48.51,,48.38,47.97,42.21,43.08,68.44,52.71,40.79,48.36,,64.93,67.43,91.49,57.8,47.97,,122.87,50.33,46.87,52.71,64.8,28.9,65.99,51.45,,39.72,20.74,111.25,54.77,111.14,,134.64,48.44,38.14,48.49,25.19
2012-9,52.34,101.41,31.51,48.88,49.91,,48.53,47.73,40.19,45.03,54.06,50.84,43.84,49.48,,52.75,71.93,82.01,47.57,47.73,,101.41,51.59,46.43,51.81,50.44,31.51,53.1,48.2,,61.08,18.47,109.83,42.87,107.92,,112.11,46.44,33.13,50.71,27.12
2012-10,51.16,103.08,37.06,47.82,55.07,,46.97,46.94,40.75,42.95,47.21,48.75,41.21,52.61,,49.8,72.41,70.38,47.87,46.94,,103.08,54.44,44.96,49.24,47.33,37.06,50.92,47.3,,95.93,15.86,109.83,58,107.55,,125.81,45.79,35.6,57.1,37.13
2012-11,50.24,93.55,36.05,47.85,56.29,,47.31,47.85,37.92,40.06,45.35,44.94,39.48,50.76,,49.52,75.62,68.47,42.02,47.85,,93.55,56.05,44.27,45.28,47.98,36.05,49.75,47.32,,125.26,18.83,109.83,49.9,112.24,,116.32,43.79,37.99,52.7,36.55
2012-12,47.67,94.98,37.79,43.17,53.55,,38.78,37.79,41.31,46.53,48.65,44.58,50.48,44.85,,45.34,73.89,71.57,47.45,37.79,,94.98,55.69,43.4,45.06,43.68,47.24,42.1,38.79,,85.52,18.05,109.83,57.43,130.75,,138.42,46.07,34.51,47.82,46.26
2013-1,51.39,95.91,42.75,45.35,56.9,,43.72,45.7,43.06,45.42,48.31,53.3,43.96,53.44,,46.85,70.7,68.06,46.3,45.7,,95.91,55.59,42.75,51.22,43.64,44.29,49.75,43.72,,127.78,21.99,108.9,53.76,115.44,,126.2,44.12,41.4,56.36,43.71
2013-2,51.21,101.89,36.79,45.76,58.63,,45.03,47.09,42,43.76,47.37,47.54,41.61,57.48,,47.25,71.11,66.46,45.31,47.09,,101.89,55.45,40.24,46.16,36.79,41.61,48.15,45.03,,66.26,20.39,108.9,41.21,117.95,,125.08,38.37,45.5,59.61,41.87
2013-3,48.52,88.59,24.05,40.98,63.58,,38.93,41.27,43.23,48.67,32.21,27.32,47.5,60.94,,39.17,88.59,67.43,48.85,41.27,,79.9,61.76,38.54,24.05,31.73,46.93,40.6,38.89,,105.39,20.39,108.9,46.56,119.42,,126.19,36.17,40.22,61.9,47.32
2013-4,44.32,89.83,16.97,39,60.74,,38.7,40.02,45.58,45.66,34.62,19.17,46.35,48.48,,38.9,76.09,64.41,47.24,40.02,,89.83,60.01,38.19,16.97,34.07,46.34,38.65,38.7,,60.95,19.69,108.9,46.12,121.08,,135.48,41.01,40.64,47.88,48.45
2013-5,40.54,88.31,29.61,39,52.69,,30.09,33.84,39.16,39.19,36.81,45.86,39.41,32.9,,30.36,68.16,57.93,45.12,33.84,,88.31,55.12,37.06,45.64,29.61,38.9,31.86,30.09,,107,17.67,108.9,39.79,127.75,,125.29,39.14,41.19,34.13,38.91
2013-6,36.79,95.7,24.68,29.32,35.2,,28.49,29.36,43.32,56.31,34.09,43.13,40.15,24.68,,35.79,61.3,59.35,57.83,29.36,,95.7,51.5,36.9,44.01,25.51,35.85,37.6,28.49,,64.17,16.56,108.9,32.49,130.26,,131.17,41.85,39.22,29.67,35.08
2013-7,44.56,111.29,36.11,37.85,36.53,,38.82,38.44,38.35,42.42,39.63,54,39.08,36.26,,47.16,65.71,70.56,51.86,38.44,51.88,111.29,50.41,38.36,54.25,36.6,36.11,44.7,39.33,,36.21,21.99,108.9,33.25,122.01,,128.81,44.65,47.6,38.24,35.68
2013-8,45.76,115.4,37.13,39.59,39.76,,40.13,40.35,43.03,46.08,40.83,50.75,45.88,37.13,,50.05,67.53,68.61,54.17,40.35,54.15,115.4,50.21,39.86,50.78,46.09,42.61,50.53,43.65,,49.41,16.56,107.5,30.05,132.96,,127.9,43.07,38.19,39.31,37.36
2013-9,49.69,98.72,40.66,45.45,47.98,,44.85,44.02,47.48,50,43.4,52.98,50.41,45.7,,49.13,70.67,68.3,65.36,44.02,65.42,98.72,53.37,41.44,53.48,40.66,48.24,50.72,44.85,,81.65,15.52,107.5,44.41,115.8,,113.54,44.4,39.18,46.51,40.55
2013-10,48.45,107.8,37.58,39.7,47.33,,39.29,39.8,41.05,49.37,50.22,54.35,48.51,47.05,,53.28,69.3,67.96,67.84,39.8,67.73,107.8,52.61,38.97,54.45,37.58,44.58,53.37,40.81,,78.16,15.59,107.5,39.61,134.03,,129.23,40.79,35.62,46.08,40.46
2013-11,47.61,84.44,37.03,41.27,51.9,,39.47,41.39,39.83,44.66,51.34,44.12,40.14,51.83,,43.4,71.46,65.15,49.94,41.39,49.94,84.44,56.46,37.03,44.43,37.19,39.37,47.69,39.59,,102.72,11.2,107.5,40.6,130.22,,120.32,42.74,37.85,52.06,38.73
2013-12,50.32,95.68,31.92,37.6,50.47,,38.25,37.73,31.92,38.89,66.28,67.16,37.62,52.46,,54.68,73.08,73.12,39.57,37.73,39.55,95.68,55.57,34.85,66.47,47.7,34.71,53.11,38.27,,90.29,21.78,107.5,47.03,134.22,,124.34,54.53,54.6,55.46,34.47
2014-1,42.54,80.82,32.05,38.18,41.51,,37.67,37.51,32.05,42.84,63.68,35.15,42.06,40.92,,44.66,77.4,61.97,44.9,37.51,44.89,80.82,47.34,39.14,32.91,37.12,34.82,45.04,37.72,,107.93,44.63,108.04,44.34,138.79,,118.04,43.14,81.77,49.79,35.13
2014-2,38.05,84.64,16.09,35.08,40.45,,34.83,35.12,30.75,36.37,66.31,17.89,35.71,40.45,,36.7,65.55,53.67,44.66,35.12,44.66,84.64,45.42,40.44,16.09,33.15,31.51,36.43,34.83,,205.27,55.82,109.43,46.42,144.89,,126.67,45.34,81.37,46.62,31.61
2014-3,36.44,69.11,27.36,32.61,39.09,,32.6,32.46,27.63,33.01,52.42,27.84,32.63,37.18,,34.7,66.22,48.85,43.48,32.46,43.5,69.11,42.09,41.08,27.36,30.45,27.74,35.2,32.67,55.41,222.83,54.87,109.43,42.85,139.67,,134.73,36.8,54.89,37.4,27.95
